"subject" "activity" "measurement" "X" "Y" "Z" "Magnitude"
"55" "1" "LAYING" "FrequencyDomainBodyAccelerationJerkMean" -0.9570738838 -0.9224626098 -0.9480609042 NA
"235" "1" "LAYING" "FrequencyDomainBodyAccelerationJerkStandardDeviation" -0.9641607086 -0.9322178704 -0.9605869872 NA
"415" "1" "LAYING" "FrequencyDomainBodyAccelerationMean" -0.9390990524 -0.86706520518 -0.8826668762 -0.8617676481
"595" "1" "LAYING" "FrequencyDomainBodyAccelerationStandardDeviation" -0.9244374346 -0.8336255561 -0.81289155944 -0.7983009404
"775" "1" "LAYING" "FrequencyDomainBodyBodyAccelerationJerkMean" NA NA NA -0.9333003608
"955" "1" "LAYING" "FrequencyDomainBodyBodyAccelerationJerkStandardDeviation" NA NA NA -0.9218039756
"1135" "1" "LAYING" "FrequencyDomainBodyBodyGyroscopeJerkMean" NA NA NA -0.9423669466
"1315" "1" "LAYING" "FrequencyDomainBodyBodyGyroscopeJerkStandardDeviation" NA NA NA -0.9326606676
"1495" "1" "LAYING" "FrequencyDomainBodyBodyGyroscopeMean" NA NA NA -0.8621901854
"1675" "1" "LAYING" "FrequencyDomainBodyBodyGyroscopeStandardDeviation" NA NA NA -0.82431943968
"1855" "1" "LAYING" "FrequencyDomainBodyGyroscopeMean" -0.850249174586 -0.9521914948 -0.909302721 NA
"2035" "1" "LAYING" "FrequencyDomainBodyGyroscopeStandardDeviation" -0.8822964508 -0.9512320494 -0.9165825082 NA
"2215" "1" "LAYING" "TimeseriesBodyAccelerationJerkMean" 0.0810865342 0.0038382040088 0.010834236361 -0.9543962646
"2395" "1" "LAYING" "TimeseriesBodyAccelerationJerkStandardDeviation" -0.958482112 -0.9241492736 -0.9548551108 -0.9282456284
"2575" "1" "LAYING" "TimeseriesBodyAccelerationMean" 0.22159824394 -0.0405139534294 -0.11320355358 -0.8419291525
"2755" "1" "LAYING" "TimeseriesBodyAccelerationStandardDeviation" -0.9280564692 -0.83682740562 -0.826061401628 -0.79514486386
"2935" "1" "LAYING" "TimeseriesBodyGyroscopeJerkMean" -0.107270949192 -0.04151728689 -0.0740501211 -0.96346103
